Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u 25V,C_0603_1608Metric,210.5,-122.3,0.0,bottom
C2,100n 25V,C_0603_1608Metric,187.9,-121.5,90.0,bottom
C3,100n 25V,C_0603_1608Metric,200.5,-121.5,90.0,bottom
D1,SM6T30A,D_SMB,209.3,-136.3,0.0,bottom
D2,B240,D_SMB,184.5,-136.2375,0.0,bottom
D3,B240,D_SMB,197.1,-136.3,0.0,bottom
Q1,IRF7403,SOIC-8_3.9x4.9mm_P1.27mm,184.5,-126.9,180.0,bottom
Q2,IRF7403,SOIC-8_3.9x4.9mm_P1.27mm,197.1,-126.9,180.0,bottom
R1,1k,R_0603_1608Metric,168.3,-136.7,180.0,bottom
R2,1k,R_0603_1608Metric,171.9,-136.7,180.0,bottom
R3,10k,R_0603_1608Metric,182.3,-121.5,270.0,bottom
R4,10k,R_0603_1608Metric,194.9,-121.5,270.0,bottom
R5,1k5,R_0603_1608Metric,212.1,-123.9,180.0,bottom
R6,13k,R_0603_1608Metric,208.9,-123.9,180.0,bottom
U1,TLP291,SOIC-4_4.55x2.6mm_P1.27mm,168.9,-128.3,0.0,bottom
U2,TLP291,SOIC-4_4.55x2.6mm_P1.27mm,172.5,-128.3,0.0,bottom
U3,LM317L_SOT-89,SOT-89-3,210.1,-127.1375,180.0,bottom
U4,MCP1416,SOT-23-5,185.1,-121.5,180.0,bottom
U5,MCP1416,SOT-23-5,197.7,-121.5,180.0,bottom
